00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,07,11,00,00,00,00,13,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,08,12,00,00,00,00,10,14,11,00,00,00,07,18,00,00,00,00,00
52,51,00,00,00,00,10,12,00,00,00,00,00,10,15,11,00,00,05,00,00,00,00,00,00
03,03,50,00,00,00,00,05,00,00,00,00,00,00,00,04,00,00,08,11,00,00,00,00,00
03,03,49,00,00,00,00,04,00,00,00,00,00,00,00,00,00,00,08,12,00,00,00,00,00
40,03,03,48,00,00,00,00,00,00,19,20,21,22,23,00,00,00,10,17,00,00,00,00,00
39,03,03,47,00,00,00,00,00,00,34,01,01,01,24,00,00,00,00,00,00,00,00,00,00
38,03,03,03,46,00,00,00,00,00,33,01,01,01,25,00,00,00,00,00,00,00,00,00,00
00,36,03,03,03,44,00,00,00,00,32,01,01,01,26,00,00,00,00,00,00,13,00,00,00
00,37,03,03,03,43,00,00,00,00,31,30,29,28,27,00,00,00,07,06,06,17,00,00,09
00,00,35,41,42,45,00,00,00,00,00,00,00,00,00,00,00,00,04,00,00,00,00,09,03
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,03,03
00,00,00,00,00,13,00,00,00,00,16,06,14,14,11,00,00,00,00,00,00,09,03,03,03
00,00,00,00,07,12,00,00,00,00,00,00,10,15,17,00,00,00,00,00,09,03,03,03,03
00,00,00,00,10,17,00,00,00,00,00,00,00,00,00,00,00,00,00,09,03,03,03,03,03
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,03,03,03,03,03,03

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

